qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
45.0,20,9,2,4.0,1,1:32.893,1:31.745,1:33.096
46.0,20,13,6,2.0,2,1:31.937,1:31.188,1:33.123
47.0,20,1,1,22.0,3,1:32.750,1:31.922,1:33.292
48.0,20,8,6,1.0,4,1:32.652,1:31.933,1:33.418
49.0,20,5,1,23.0,5,1:33.057,1:31.718,1:33.488
50.0,20,2,2,3.0,6,1:33.137,1:31.909,1:33.737
51.0,20,15,7,11.0,7,1:32.493,1:32.159,1:33.994
52.0,20,3,3,7.0,8,1:32.903,1:32.185,1:34.015
53.0,20,18,11,16.0,9,1:32.793,1:32.362,1:35.057
54.0,20,4,4,5.0,10,1:32.947,1:32.345,1:35.115
55.0,20,17,9,10.0,11,1:33.194,1:32.371,\N
56.0,20,22,11,17.0,12,1:32.944,1:32.508,\N
57.0,20,10,7,12.0,13,1:32.800,1:32.528,\N
58.0,20,12,4,6.0,14,1:32.975,1:32.790,\N
59.0,20,7,5,14.0,15,1:33.415,1:32.915,\N
60.0,20,6,3,8.0,16,1:33.386,1:32.943,\N
61.0,20,14,9,9.0,17,1:33.433,\N,\N
62.0,20,21,10,21.0,18,1:33.501,\N,\N
63.0,20,20,5,15.0,19,1:33.562,\N,\N
64.0,20,16,10,20.0,20,1:33.845,\N,\N
65.0,20,19,8,19.0,21,1:34.140,\N,\N
66.0,20,11,8,18.0,22,1:35.725,\N,\N
67.0,21,8,6,1.0,1,1:20.701,1:20.784,1:21.813
68.0,21,4,4,5.0,2,1:21.347,1:20.804,1:21.904
69.0,21,13,6,2.0,3,1:21.528,1:20.584,1:22.058
70.0,21,9,2,4.0,4,1:21.423,1:20.597,1:22.065
71.0,21,1,1,22.0,5,1:21.366,1:20.825,1:22.096
72.0,21,5,1,23.0,6,1:21.430,1:20.817,1:22.231
73.0,21,17,9,10.0,7,1:21.494,1:20.984,1:22.429
74.0,21,15,7,11.0,8,1:21.158,1:20.907,1:22.529
75.0,21,2,2,3.0,9,1:21.466,1:20.815,1:22.542
76.0,21,12,4,6.0,10,1:21.409,1:20.894,1:22.699
77.0,21,22,11,17.0,11,1:21.548,1:21.049,\N
78.0,21,6,3,8.0,12,1:21.690,1:21.117,\N
79.0,21,18,11,16.0,13,1:21.757,1:21.211,\N
80.0,21,10,7,12.0,14,1:21.427,1:21.230,\N
81.0,21,3,3,7.0,15,1:21.472,1:21.349,\N
82.0,21,7,5,14.0,16,1:21.540,1:21.724,\N
83.0,21,14,9,9.0,17,1:21.810,\N,\N
84.0,21,20,5,15.0,18,1:22.108,\N,\N
85.0,21,21,10,21.0,19,1:22.516,\N,\N
86.0,21,16,10,20.0,20,1:23.224,\N,\N
87.0,21,19,8,19.0,21,1:23.318,\N,\N
88.0,21,11,8,18.0,22,1:23.496,\N,\N
89.0,22,13,6,2.0,1,1:25.994,1:26.192,1:27.617
90.0,22,5,1,23.0,2,1:26.736,1:26.290,1:27.808
91.0,22,1,1,22.0,3,1:26.192,1:26.477,1:27.923
92.0,22,8,6,1.0,4,1:26.457,1:26.050,1:27.936
93.0,22,9,2,4.0,5,1:26.761,1:26.129,1:28.390
94.0,22,17,9,10.0,6,1:26.773,1:26.466,1:28.417
95.0,22,4,4,5.0,7,1:26.836,1:26.522,1:28.422
96.0,22,15,7,11.0,8,1:26.695,1:26.822,1:28.836
97.0,22,2,2,3.0,9,1:27.107,1:27.607,1:28.882
98.0,22,14,9,9.0,10,1:26.939,1:26.520,1:29.959
99.0,22,3,3,7.0,11,1:27.367,1:27.012,\N
100.0,22,22,11,17.0,12,1:27.355,1:27.219,\N
101.0,22,18,11,16.0,13,1:27.428,1:27.298,\N
102.0,22,20,5,15.0,14,1:27.442,1:27.412,\N
103.0,22,10,7,12.0,15,1:26.614,1:27.806,\N
104.0,22,6,3,8.0,16,1:27.547,\N,\N
105.0,22,12,4,6.0,17,1:27.568,\N,\N
106.0,22,7,5,14.0,18,1:27.621,\N,\N
107.0,22,21,10,21.0,19,1:27.807,\N,\N
108.0,22,16,10,20.0,20,1:28.325,\N,\N
109.0,23,13,6,2.0,1,1:15.190,1:15.110,1:15.787
110.0,23,8,6,1.0,2,1:15.717,1:15.404,1:15.815
111.0,23,1,1,22.0,3,1:15.582,1:15.322,1:15.839
112.0,23,5,1,23.0,4,1:15.295,1:15.389,1:16.165
113.0,23,9,2,4.0,5,1:15.977,1:15.483,1:16.171
114.0,23,3,3,7.0,6,1:15.935,1:15.287,1:16.548
115.0,23,4,4,5.0,7,1:16.646,1:15.827,1:16.852
116.0,23,15,7,11.0,8,1:16.306,1:15.598,1:17.203
117.0,23,17,9,10.0,9,1:16.074,1:15.745,1:17.343
118.0,23,14,9,9.0,10,1:16.086,1:15.839,\N
119.0,23,10,7,12.0,11,1:16.285,1:15.907,\N
120.0,23,18,11,16.0,12,1:16.259,1:16.101,\N
121.0,23,2,2,3.0,13,1:16.650,1:16.455,\N
122.0,23,6,3,8.0,14,1:16.756,1:16.479,\N
123.0,23,22,11,17.0,15,1:16.208,1:16.537,\N
124.0,23,7,5,14.0,16,1:16.806,\N,\N
125.0,23,12,4,6.0,17,1:16.933,\N,\N
126.0,23,20,5,15.0,18,1:16.955,\N,\N
127.0,23,16,10,20.0,19,1:17.225,\N,\N
128.0,23,21,10,21.0,20,1:17.823,\N,\N
129.0,24,1,1,22.0,1,1:16.909,1:17.034,1:17.886
130.0,24,9,2,4.0,2,1:17.471,1:17.679,1:18.498
131.0,24,8,6,1.0,3,1:17.301,1:17.364,1:18.735
132.0,24,4,4,5.0,4,1:17.415,1:17.488,1:18.746
133.0,24,3,3,7.0,5,1:17.991,1:17.891,1:18.844
134.0,24,13,6,2.0,6,1:17.231,1:17.353,1:19.048
135.0,24,5,1,23.0,7,1:17.287,1:17.684,1:19.089
136.0,24,2,2,3.0,8,1:18.082,1:17.781,1:19.633
137.0,24,22,11,17.0,9,1:18.256,1:18.020,1:20.848
138.0,24,17,9,10.0,10,1:17.582,1:17.523,\N
139.0,24,10,7,12.0,11,1:18.321,1:18.031,\N
140.0,24,6,3,8.0,12,1:17.638,1:18.062,\N
141.0,24,14,9,9.0,13,1:18.168,1:18.238,\N
142.0,24,15,7,11.0,14,1:18.039,1:18.327,\N
143.0,24,12,4,6.0,15,1:18.505,1:18.393,\N
144.0,24,7,5,14.0,16,1:18.916,\N,\N
145.0,24,16,10,20.0,17,1:19.108,\N,\N
146.0,24,21,10,21.0,18,1:19.165,\N,\N
147.0,24,18,11,16.0,19,1:23.565,\N,\N
148.0,24,20,5,15.0,20,\N,\N,\N
149.0,25,8,6,1.0,1,1:15.133,1:15.161,1:16.449
150.0,25,13,6,2.0,2,1:15.024,1:15.041,1:16.490
151.0,25,1,1,22.0,3,1:15.634,1:15.293,1:16.693
152.0,25,4,4,5.0,4,1:15.754,1:15.483,1:16.840
153.0,25,15,7,11.0,5,1:15.521,1:15.362,1:16.920
154.0,25,5,1,23.0,6,1:15.965,1:15.639,1:16.944
155.0,25,9,2,4.0,7,1:15.687,1:15.723,1:17.037
156.0,25,17,9,10.0,8,1:16.020,1:15.488,1:17.233
157.0,25,14,9,9.0,9,1:15.802,1:15.654,1:17.426
158.0,25,10,7,12.0,10,1:15.727,1:15.558,1:17.596
159.0,25,12,4,6.0,11,1:15.848,1:15.770,\N
160.0,25,2,2,3.0,12,1:16.006,1:15.786,\N
161.0,25,20,5,15.0,13,1:15.918,1:15.816,\N
162.0,25,7,5,14.0,14,1:16.072,1:16.045,\N
163.0,25,3,3,7.0,15,1:16.085,1:16.235,\N
164.0,25,6,3,8.0,16,1:16.243,\N,\N
165.0,25,18,11,16.0,17,1:16.306,\N,\N
166.0,25,22,11,17.0,18,1:16.330,\N,\N
167.0,25,21,10,21.0,19,1:16.971,\N,\N
168.0,25,16,10,20.0,20,1:17.053,\N,\N
169.0,26,5,1,23.0,1,1:19.957,1:19.597,1:21.049
170.0,26,17,9,10.0,2,1:20.982,1:19.710,1:21.554
171.0,26,8,6,1.0,3,1:20.370,1:19.971,1:21.706
172.0,26,1,1,22.0,4,1:20.288,1:19.537,1:21.835
173.0,26,2,2,3.0,5,1:21.022,1:19.802,1:21.873
174.0,26,4,4,5.0,6,1:20.998,1:19.992,1:22.029
175.0,26,12,4,6.0,7,1:20.818,1:20.115,1:22.491
176.0,26,20,5,15.0,8,1:20.318,1:20.109,1:23.251
177.0,26,13,6,2.0,9,1:20.676,1:20.086,1:23.305
178.0,26,9,2,4.0,10,1:20.444,1:19.788,\N
179.0,26,14,9,9.0,11,1:21.224,1:20.174,\N
180.0,26,10,7,12.0,12,1:20.893,1:20.274,\N
181.0,26,7,5,14.0,13,1:20.584,1:20.531,\N
182.0,26,15,7,11.0,14,1:21.145,1:20.601,\N
183.0,26,6,3,8.0,15,1:21.407,1:21.112,\N
184.0,26,22,11,17.0,16,1:21.512,\N,\N
185.0,26,18,11,16.0,17,1:21.631,\N,\N
186.0,26,3,3,7.0,18,1:21.668,\N,\N
187.0,26,16,10,20.0,19,1:21.786,\N,\N
188.0,26,21,10,21.0,20,1:21.885,\N,\N
189.0,27,1,1,22.0,1,1:15.218,1:14.603,1:15.666
190.0,27,13,6,2.0,2,1:14.921,1:14.747,1:15.859
191.0,27,5,1,23.0,3,1:15.476,1:14.855,1:16.143
192.0,27,15,7,11.0,4,1:15.560,1:15.122,1:16.191
193.0,27,4,4,5.0,5,1:15.917,1:14.943,1:16.385
194.0,27,8,6,1.0,6,1:15.201,1:14.949,1:16.389
195.0,27,9,2,4.0,7,1:15.985,1:15.109,1:16.521
196.0,27,17,9,10.0,8,1:15.900,1:15.481,1:17.014
197.0,27,20,5,15.0,9,1:15.532,1:15.420,1:17.244
198.0,27,14,9,9.0,10,1:15.975,1:15.338,1:17.503
199.0,27,10,7,12.0,11,1:15.560,1:15.508,\N
200.0,27,2,2,3.0,12,1:15.596,1:15.581,\N
201.0,27,3,3,7.0,13,1:15.863,1:15.633,\N
202.0,27,18,11,16.0,14,1:15.993,1:15.701,\N
203.0,27,7,5,14.0,15,1:15.927,1:15.858,\N
204.0,27,6,3,8.0,16,1:16.083,\N,\N
205.0,27,12,4,6.0,17,1:16.189,\N,\N
206.0,27,22,11,17.0,18,1:16.246,\N,\N
207.0,27,16,10,20.0,19,1:16.657,\N,\N
208.0,27,21,10,21.0,20,1:16.963,\N,\N
209.0,28,1,1,22.0,1,1:19.376,1:19.473,1:20.899
210.0,28,5,1,23.0,2,1:19.945,1:19.480,1:21.140
211.0,28,13,6,2.0,3,1:19.578,1:19.068,1:21.191
212.0,28,9,2,4.0,4,1:20.053,1:19.776,1:21.281
213.0,28,10,7,12.0,5,1:19.980,1:19.246,1:21.326
214.0,28,8,6,1.0,6,1:20.006,1:19.546,1:21.516
215.0,28,4,4,5.0,7,1:20.229,1:19.816,1:21.698
216.0,28,17,9,10.0,8,1:20.073,1:20.046,1:21.732
217.0,28,15,7,11.0,9,1:19.942,1:19.486,1:21.767
218.0,28,12,4,6.0,10,1:20.583,1:20.131,1:22.371
219.0,28,20,5,15.0,11,1:20.157,1:20.144,\N
220.0,28,18,11,16.0,12,1:20.888,1:20.332,\N
221.0,28,14,9,9.0,13,1:20.505,1:20.502,\N
222.0,28,7,5,14.0,14,1:20.640,1:20.963,\N
223.0,28,3,3,7.0,15,1:20.748,\N,\N
224.0,28,2,2,3.0,16,1:21.045,\N,\N
225.0,28,6,3,8.0,17,1:21.085,\N,\N
226.0,28,22,11,17.0,18,1:21.332,\N,\N
227.0,28,21,10,21.0,19,1:21.670,\N,\N
228.0,28,16,10,20.0,20,1:22.113,\N,\N
229.0,29,13,6,2.0,1,1:38.176,1:37.859,1:38.989
230.0,29,1,1,22.0,2,1:38.464,1:37.954,1:39.199
231.0,29,9,2,4.0,3,1:38.347,1:38.050,1:39.392
232.0,29,8,6,1.0,4,1:38.703,1:38.229,1:39.488
233.0,29,5,1,23.0,5,1:38.656,1:38.120,1:39.937
234.0,29,20,5,15.0,6,1:38.141,1:37.842,1:40.142
235.0,29,15,7,11.0,7,1:37.948,1:37.928,1:40.309
236.0,29,2,2,3.0,8,1:38.738,1:37.859,1:40.631
237.0,29,3,3,7.0,9,1:38.595,1:38.336,1:40.721
238.0,29,7,5,14.0,10,1:38.622,1:38.417,1:40.750
239.0,29,6,3,8.0,11,1:38.667,1:38.428,\N
240.0,29,4,4,5.0,12,1:38.268,1:38.435,\N
241.0,29,10,7,12.0,13,1:38.532,1:38.499,\N
242.0,29,17,9,10.0,14,1:38.559,1:38.515,\N
243.0,29,12,4,6.0,15,1:38.787,1:38.744,\N
244.0,29,18,11,16.0,16,1:38.880,\N,\N
245.0,29,14,9,9.0,17,1:39.235,\N,\N
246.0,29,21,10,21.0,18,1:39.268,\N,\N
247.0,29,22,11,17.0,19,1:39.811,\N,\N
248.0,29,16,10,20.0,20,1:39.943,\N,\N
249.0,30,1,1,22.0,1,1:46.887,1:46.088,1:47.338
250.0,30,13,6,2.0,2,1:46.873,1:46.391,1:47.678
251.0,30,5,1,23.0,3,1:46.812,1:46.037,1:47.815
252.0,30,8,6,1.0,4,1:46.960,1:46.298,1:47.992
253.0,30,2,2,3.0,5,1:47.419,1:46.311,1:48.315
254.0,30,4,4,5.0,6,1:47.154,1:46.491,1:48.504
255.0,30,17,9,10.0,7,1:47.270,1:46.814,1:48.736
256.0,30,9,2,4.0,8,1:47.093,1:46.494,1:48.763
257.0,30,7,5,14.0,9,1:46.777,1:46.544,1:48.951
258.0,30,20,5,15.0,10,1:47.152,1:46.804,1:50.319
259.0,30,15,7,11.0,11,1:47.400,1:46.949,\N
260.0,30,12,4,6.0,12,1:47.052,1:46.965,\N
261.0,30,10,7,12.0,13,1:47.359,1:46.995,\N
262.0,30,14,9,9.0,14,1:47.132,1:47.018,\N
263.0,30,3,3,7.0,15,1:47.503,1:47.429,\N
264.0,30,22,11,17.0,16,1:48.153,\N,\N
265.0,30,18,11,16.0,17,1:48.211,\N,\N
266.0,30,16,10,20.0,18,1:48.226,\N,\N
267.0,30,6,3,8.0,19,1:48.268,\N,\N
268.0,30,21,10,21.0,20,1:48.447,\N,\N
269.0,31,20,5,15.0,1,1:35.464,1:35.837,1:37.555
270.0,31,5,1,23.0,2,1:35.214,1:35.843,1:37.631
271.0,31,17,9,10.0,3,1:36.001,1:36.306,1:38.117
272.0,31,7,5,14.0,4,1:35.543,1:36.175,1:38.445
273.0,31,3,3,7.0,5,1:35.485,1:35.898,1:38.767
274.0,31,13,6,2.0,6,1:35.536,1:36.676,1:38.894
275.0,31,15,7,11.0,7,1:35.906,1:36.008,1:39.152
276.0,31,4,4,5.0,8,1:36.297,1:36.518,1:39.751
277.0,31,10,7,12.0,9,1:35.737,1:36.525,1:39.787
278.0,31,2,2,3.0,10,1:35.709,1:36.626,1:39.906
279.0,31,9,2,4.0,11,1:35.553,1:36.697,\N
280.0,31,21,10,21.0,12,1:36.280,1:36.698,\N
281.0,31,14,9,9.0,13,1:36.485,1:37.284,\N
282.0,31,8,6,1.0,14,1:35.965,1:37.522,\N
283.0,31,1,1,22.0,15,1:35.394,1:39.265,\N
284.0,31,22,11,17.0,16,1:36.510,\N,\N
285.0,31,12,4,6.0,17,1:36.630,\N,\N
286.0,31,6,3,8.0,18,1:36.653,\N,\N
287.0,31,18,11,16.0,19,1:37.006,\N,\N
288.0,31,16,10,20.0,20,1:37.417,\N,\N
289.0,32,13,6,2.0,1,1:44.519,1:44.014,1:44.801
290.0,32,1,1,22.0,2,1:44.501,1:44.932,1:45.465
291.0,32,8,6,1.0,3,1:44.282,1:44.232,1:45.617
292.0,32,9,2,4.0,4,1:44.740,1:44.519,1:45.779
293.0,32,5,1,23.0,5,1:44.311,1:44.207,1:45.873
294.0,32,2,2,3.0,6,1:45.548,1:44.520,1:45.964
295.0,32,20,5,15.0,7,1:45.042,1:44.261,1:46.244
296.0,32,10,7,12.0,8,1:45.184,1:44.441,1:46.328
297.0,32,3,3,7.0,9,1:45.103,1:44.429,1:46.611
298.0,32,6,3,8.0,10,1:45.127,1:44.826,1:47.547
299.0,32,15,7,11.0,11,1:45.642,1:45.038,\N
300.0,32,18,11,16.0,12,1:45.660,1:45.133,\N
301.0,32,17,9,10.0,13,1:45.493,1:45.212,\N
302.0,32,14,9,9.0,14,1:46.028,1:45.298,\N
303.0,32,4,4,5.0,15,1:44.971,\N,\N
304.0,32,12,4,6.0,16,1:46.037,\N,\N
305.0,32,7,5,14.0,17,1:46.389,\N,\N
306.0,32,22,11,17.0,18,1:46.583,\N,\N
307.0,32,16,10,20.0,19,1:47.940,\N,\N
308.0,32,21,10,21.0,20,\N,\N,\N
309.0,33,1,1,22.0,1,1:18.071,1:17.462,1:18.404
310.0,33,8,6,1.0,2,1:18.160,1:17.733,1:18.644
311.0,33,5,1,23.0,3,1:18.220,1:17.360,1:18.821
312.0,33,4,4,5.0,4,1:18.290,1:17.871,1:18.852
313.0,33,13,6,2.0,5,1:18.110,1:17.287,1:18.874
314.0,33,9,2,4.0,6,1:18.684,1:17.931,1:18.979
315.0,33,15,7,11.0,7,1:18.501,1:17.541,1:19.026
316.0,33,10,7,12.0,8,1:17.945,1:17.670,1:19.118
317.0,33,20,5,15.0,9,1:18.559,1:17.714,1:19.638
318.0,33,7,5,14.0,10,1:18.593,1:18.102,1:20.167
319.0,33,14,9,9.0,11,1:18.303,1:18.187,\N
320.0,33,12,4,6.0,12,1:18.300,1:18.274,\N
321.0,33,17,9,10.0,13,1:18.372,1:18.354,\N
322.0,33,6,3,8.0,14,1:18.640,1:18.594,\N
323.0,33,3,3,7.0,15,1:18.740,1:18.672,\N
324.0,33,2,2,3.0,16,1:18.835,\N,\N
325.0,33,22,11,17.0,17,1:18.882,\N,\N
326.0,33,18,11,16.0,18,1:19.100,\N,\N
327.0,33,16,10,20.0,19,1:19.163,\N,\N
328.0,33,21,10,21.0,20,1:19.910,\N,\N
329.0,34,1,1,22.0,1,1:35.566,1:34.947,1:36.303
330.0,34,8,6,1.0,2,1:35.983,1:35.355,1:36.645
331.0,34,13,6,2.0,3,1:35.971,1:35.135,1:36.889
332.0,34,4,4,5.0,4,1:35.769,1:35.461,1:36.927
333.0,34,5,1,23.0,5,1:35.623,1:35.216,1:36.930
334.0,34,17,9,10.0,6,1:36.238,1:35.686,1:37.083
335.0,34,2,2,3.0,7,1:36.224,1:35.403,1:37.201
336.0,34,20,5,15.0,8,1:35.752,1:35.386,1:37.685
337.0,34,15,7,11.0,9,1:36.104,1:35.715,1:37.934
338.0,34,7,5,14.0,10,1:36.239,1:35.478,1:38.885
339.0,34,12,4,6.0,11,1:36.029,1:35.722,\N
340.0,34,9,2,4.0,12,1:36.503,1:35.814,\N
341.0,34,10,7,12.0,13,1:36.210,1:35.937,\N
342.0,34,22,11,17.0,14,1:36.640,1:36.079,\N
343.0,34,3,3,7.0,15,1:36.434,1:36.210,\N
344.0,34,14,9,9.0,16,1:36.731,\N,\N
345.0,34,6,3,8.0,17,1:36.863,\N,\N
346.0,34,18,11,16.0,18,1:37.053,\N,\N
347.0,34,16,10,20.0,19,1:37.730,\N,\N
348.0,34,21,10,21.0,20,1:37.739,\N,\N
349.0,35,13,6,2.0,1,1:11.830,1:11.875,1:12.368
350.0,35,15,7,11.0,2,1:12.226,1:12.107,1:12.737
351.0,35,8,6,1.0,3,1:12.083,1:11.950,1:12.825
352.0,35,1,1,22.0,4,1:12.213,1:11.856,1:12.830
353.0,35,5,1,23.0,5,1:12.366,1:11.768,1:12.917
354.0,35,4,4,5.0,6,1:12.214,1:12.090,1:12.967
355.0,35,20,5,15.0,7,1:12.390,1:11.845,1:13.082
356.0,35,2,2,3.0,8,1:12.371,1:12.026,1:13.297
357.0,35,7,5,14.0,9,1:12.498,1:12.075,1:14.105
358.0,35,10,7,12.0,10,1:12.223,1:11.909,1:14.230
359.0,35,12,4,6.0,11,1:12.348,1:12.137,\N
360.0,35,17,9,10.0,12,1:12.409,1:12.289,\N
361.0,35,9,2,4.0,13,1:12.381,1:12.300,\N
362.0,35,14,9,9.0,14,1:12.690,1:12.717,\N
363.0,35,22,11,17.0,15,1:12.548,1:13.139,\N
364.0,35,6,3,8.0,16,1:12.800,\N,\N
365.0,35,18,11,16.0,17,1:12.810,\N,\N
366.0,35,3,3,7.0,18,1:13.002,\N,\N
367.0,35,21,10,21.0,19,1:13.426,\N,\N
368.0,35,16,10,20.0,20,1:13.508,\N,\N
369.0,36,8,6,6.0,1,1:26.644,1:25.644,1:26.072
370.0,36,4,1,1.0,2,1:26.697,1:25.326,1:26.493
371.0,36,2,2,9.0,3,1:26.895,1:25.358,1:26.556
372.0,36,1,1,2.0,4,1:26.674,1:25.577,1:26.755
373.0,36,9,2,10.0,5,1:26.696,1:25.882,1:27.347
374.0,36,21,4,3.0,6,1:27.270,1:25.944,1:27.634
375.0,36,17,9,15.0,7,1:26.978,1:26.623,1:27.934
376.0,36,15,7,12.0,8,1:27.014,1:26.688,1:28.404
377.0,36,23,7,11.0,9,1:27.328,1:26.739,1:28.692
378.0,36,11,8,22.0,10,1:27.365,1:26.758,1:28.871
379.0,36,19,8,23.0,11,1:26.986,1:26.909,\N
380.0,36,3,3,16.0,12,1:27.596,1:26.914,\N
381.0,36,5,4,4.0,13,1:27.529,1:26.964,\N
382.0,36,18,11,7.0,14,1:27.540,1:27.264,\N
383.0,36,25,3,17.0,15,1:27.479,1:27.393,\N
384.0,36,13,6,5.0,16,1:26.712,\N,\N
385.0,36,22,11,8.0,17,1:27.679,\N,\N
386.0,36,26,5,19.0,18,1:28.305,\N,\N
387.0,36,14,9,14.0,19,1:28.579,\N,\N
388.0,36,24,5,18.0,20,1:29.267,\N,\N
389.0,36,16,12,20.0,21,1:29.339,\N,\N
390.0,36,27,12,21.0,22,1:31.932,\N,\N
391.0,37,13,6,5.0,1,1:35.340,1:34.454,1:35.043
392.0,37,4,1,1.0,2,1:34.942,1:34.057,1:35.310
393.0,37,8,6,6.0,3,1:35.138,1:34.687,1:35.479
394.0,37,1,1,2.0,4,1:35.028,1:34.650,1:36.045
395.0,37,2,2,9.0,5,1:35.617,1:35.203,1:36.543
396.0,37,3,3,16.0,6,1:35.755,1:35.380,1:36.829
397.0,37,9,2,10.0,7,1:35.294,1:34.739,1:36.839
398.0,37,15,7,12.0,8,1:35.666,1:35.255,1:36.902
399.0,37,23,7,11.0,9,1:35.736,1:35.595,1:37.078
400.0,37,17,9,15.0,10,1:35.727,1:35.579,1:37.345
401.0,37,5,4,4.0,11,1:36.092,1:35.630,\N
402.0,37,21,4,3.0,12,1:35.879,1:35.706,\N
403.0,37,14,9,14.0,13,1:35.730,1:35.766,\N
404.0,37,11,8,22.0,14,1:36.430,1:35.945,\N
405.0,37,18,11,7.0,15,1:35.913,1:36.088,\N
406.0,37,24,5,18.0,16,1:36.140,1:36.145,\N
407.0,37,26,5,19.0,17,1:36.578,\N,\N
408.0,37,19,8,23.0,18,1:36.816,\N,\N
409.0,37,22,11,8.0,19,1:36.827,\N,\N
410.0,37,25,3,17.0,20,1:37.326,\N,\N
411.0,37,27,12,21.0,21,1:38.279,\N,\N
412.0,37,16,12,20.0,22,1:38.415,\N,\N
413.0,38,13,6,5.0,1,1:32.443,1:31.359,1:32.652
414.0,38,1,1,2.0,2,1:32.580,1:31.752,1:32.935
415.0,38,8,6,6.0,3,1:33.161,1:31.812,1:33.131
416.0,38,4,1,1.0,4,1:33.049,1:32.214,1:33.192
417.0,38,2,2,9.0,5,1:33.164,1:32.154,1:33.404
418.0,38,9,2,10.0,6,1:33.348,1:32.292,1:33.710
419.0,38,21,4,3.0,7,1:33.556,1:32.889,1:34.056
420.0,38,17,9,15.0,8,1:33.496,1:32.808,1:34.106
421.0,38,15,7,12.0,9,1:33.218,1:32.429,1:34.154
422.0,38,3,3,16.0,10,1:33.349,1:32.815,1:34.399
423.0,38,25,3,17.0,11,1:33.759,1:32.915,\N
424.0,38,5,4,4.0,12,1:33.467,1:32.935,\N
425.0,38,19,8,23.0,13,1:33.299,1:33.082,\N
426.0,38,23,7,11.0,14,1:33.923,1:33.294,\N
427.0,38,22,11,8.0,15,1:33.776,1:33.624,\N
428.0,38,18,11,7.0,16,1:33.967,1:33.731,\N
429.0,38,11,8,22.0,17,1:33.984,\N,\N
430.0,38,24,5,18.0,18,1:34.024,\N,\N
431.0,38,26,5,19.0,19,1:34.333,\N,\N
432.0,38,16,12,20.0,20,1:35.280,\N,\N
433.0,38,14,9,14.0,21,1:35.341,\N,\N
434.0,38,27,12,12.0,22,1:35.533,\N,\N
435.0,39,13,6,5.0,1,1:21.375,1:20.597,1:21.421
436.0,39,4,1,1.0,2,1:21.609,1:20.797,1:21.451
437.0,39,8,6,6.0,3,1:21.802,1:20.741,1:21.723
438.0,39,1,1,2.0,4,1:21.120,1:20.713,1:21.785
439.0,39,9,2,10.0,5,1:21.941,1:21.381,1:22.253
440.0,39,15,7,12.0,6,1:22.501,1:21.554,1:22.324
